#SampleID,genotype,fertility,amf,rep,group,shoot_mass,root_mass,total_mass,ratio_root_to_shoot,root_colonization,TN,P,Ca,K,Mg,Na,S,B,Fe,Zn,Cu,Mn,Length,AvgDiam,Forks,SurfArea,Origin,Percent
L74,7,P,Y,2,Hybrid (C. transvaalensis),27.76,18.89,46.65,0.404930332,48,1.51,0.07,0.4,0.93,0.17,,0.23,5.1,96.5,24.8,15.1,52.3,146.8236,0.2075,593,9.5718,Asian,67%
L75,7,P,Y,4,Hybrid (C. transvaalensis),28.658,19.17,47.828,0.40081124,24,1.28,0.038,0.353,0.819,0.166,0.132,0.182,< 2.7,64.964,25.767,14.908,36.773,191.8436,0.2994,1422,18.0418,Asian,67%
L76,7,PP,Y,5,Hybrid (C. transvaalensis),25.428,7.54,32.968,0.228706625,30,1.36,0.075,0.604,0.97,0.233,0.209,0.26,5.895,61.87,32.419,20.127,49.807,224.0538,0.3015,1544,21.2234,Asian,67%
L77,7,PP,Y,1,Hybrid (C. transvaalensis),25.127,12.53,37.657,0.332740261,38,1.43,0.084,0.5,1.109,0.21,0.156,0.255,5.764,50.904,37.533,28.137,45.216,249.9257,0.4364,4194,34.2611,Asian,67%
L78,7,PP,Y,2,Hybrid (C. transvaalensis),27.585,14.85,42.435,0.349946978,50,1.33,0.076,0.625,1.031,0.234,0.196,0.268,6.624,574.163,27.159,16.325,55.19,231.0284,0.2422,926,17.5785,Asian,67%
L79,7,PP,Y,4,Hybrid (C. transvaalensis),26.05,19.68,45.73,0.430352066,35,1.44,0.084,0.61,1.023,0.239,0.152,0.264,8.302,38.824,34.368,18.934,52.773,211.5977,0.3392,1556,22.5497,Asian,67%
L8,1,PP,Y,5,Common (C. dactylon),22.414,5.45,27.864,0.19559288,25,1.9906,0.13,0.656,1.438,0.27,0.163,0.407,7.597,78.135,42.441,16.314,52.387,317.4234,0.3785,2389,37.7457,African,100%
L80,7,PPP,Y,5,Hybrid (C. transvaalensis),30.161,21.9,52.061,0.420660379,32,1.33,0.09,0.517,0.928,0.212,0.268,0.277,4.648,94.673,26.328,13.714,47.383,144.079,0.2406,892,10.8913,Asian,67%
L81,7,PPP,Y,1,Hybrid (C. transvaalensis),24.411,25.13,49.541,0.507256616,44,1.26,0.097,0.645,0.851,0.243,0.237,0.305,5.778,197.357,33.727,26.568,50.296,301.958,0.2885,2066,27.3673,Asian,67%
L82,7,PPP,Y,2,Hybrid (C. transvaalensis),25.64,20.32,45.96,0.442123586,46,1.37,0.087,0.441,1.096,0.199,0.207,0.258,3.659,19.214,28.799,13.454,41.55,189.9677,0.2448,1072,14.6083,Asian,67%
L84,8,P,Y,5,Hybrid (C. transvaalensis),19.91,15.15,35.06,0.432116372,18,1.76,0.109,0.787,1.133,0.231,0.258,0.356,6.592,52.854,49.912,29.338,60.235,85.5347,0.3924,201,10.5442,African,100%
L85,8,P,Y,1,Hybrid (C. transvaalensis),16.153,8.19,24.343,0.336441688,32,1.68,0.1,0.66,0.996,0.198,0.213,0.289,4.723,146.058,34.829,22.517,56.944,121.2047,0.3856,372,14.6816,African,100%
L86,8,P,Y,2,Hybrid (C. transvaalensis),11.777,9.8,21.577,0.454187329,26,1.61,0.082,0.583,1.068,0.194,0.296,0.325,5.267,76.765,48.288,13.218,45.992,78.3575,0.303,145,7.4584,African,100%
L87,8,P,Y,4,Hybrid (C. transvaalensis),12.67,12.18,24.85,0.490140845,29,1.78,0.093,0.714,1.133,0.209,0.159,0.359,3.13,61.766,35.99,16.872,57.576,111.278,0.365,374,12.7602,African,100%
L88,8,PP,Y,5,Hybrid (C. transvaalensis),20.71,15.96,36.67,0.435233161,46,2,0.153,0.889,1.272,0.247,0.324,0.401,8.586,63.844,42.699,25.878,65.801,70.373,0.4671,159,10.327,African,100%
L89,8,PP,Y,1,Hybrid (C. transvaalensis),18.83,6.09,24.92,0.244382022,35,1.54,0.135,0.581,1.247,0.181,0.298,0.359,3.076,64.452,35.753,17.506,45.162,84.6866,0.3458,217,9.2012,African,100%
L9,1,PPP,Y,1,Common (C. dactylon),23.901,6.63,30.531,0.217156333,29,1.6097,0.139,0.564,1.372,0.236,0.147,0.33,5.373,122.288,36.51,16.008,48.342,362.9896,0.3369,2986,38.4202,African,100%
L90,8,PP,Y,2,Hybrid (C. transvaalensis),20.14,10.42,30.56,0.340968586,28,1.68,0.129,0.707,1.18,0.212,0.272,0.372,3.369,241.101,30.587,13.512,51.533,67.194,0.222,135,4.6869,African,100%
L91,8,PP,Y,4,Hybrid (C. transvaalensis),21.67,8.24,29.91,0.275493146,56,1.32,0.1,0.43,0.97,0.13,,0.26,3.2,110.3,24.2,12.9,33.9,28.3046,0.4048,8,3.5998,African,100%
L92,8,PPP,Y,5,Hybrid (C. transvaalensis),26.61,3.22,29.83,0.107945022,29,1.47,0.149,0.626,1.049,0.184,0.317,0.327,4.563,55.883,37.706,23.906,39.607,93.3269,0.328,420,9.6157,African,100%
L93,8,PPP,Y,1,Hybrid (C. transvaalensis),21.52,8.43,29.95,0.281469115,25,1.9,0.164,0.782,1.268,0.223,0.262,0.348,8.063,88.906,38.637,35.684,55.54,78.3502,0.4112,222,10.1216,African,100%
L94,8,PPP,Y,2,Hybrid (C. transvaalensis),24.06,26.14,50.2,0.520717131,39,1.45,0.148,0.782,1.047,0.247,0.339,0.376,9.481,61.493,30.574,17.608,56.907,100.8828,0.3474,239,11.0117,African,100%
L95,8,PPP,Y,4,Hybrid (C. transvaalensis),22.51,8.57,31.08,0.275740026,40,1.3,0.17,0.806,1.234,0.224,0.361,0.398,8.596,44.737,36.247,19.015,46.171,106.458,0.3194,150,10.6812,African,100%
L96,9,P,Y,5,Common (C. dactylon),18.365,8.69,27.055,0.321197561,31,1.44,0.067,0.68,1.16,0.211,0.095,0.304,4.027,94.96,28.492,11.294,50.201,357.6942,0.2741,2434,30.8066,Asian,100%
L97,9,P,Y,1,Common (C. dactylon),20.526,5.16,25.686,0.200887643,36,1.64,0.114,0.658,1.264,0.204,0.19,0.341,4.94,4.08,23.535,14.128,71.663,213.3945,0.3306,1244,22.1649,Asian,100%
L98,9,P,Y,2,Common (C. dactylon),21.606,8.77,30.376,0.288714775,44,1.39,0.09,0.66,1.16,0.2,,0.31,5.7,149.7,29.1,13.4,63,158.9038,0.2703,1182,13.492,Asian,100%
L99,9,P,Y,4,Common (C. dactylon),20.784,10.75,31.534,0.340901884,57,1.6,0.051,0.696,1.118,0.228,0.06,0.311,5.12,60.153,31.814,11.495,67.191,405.0234,0.293,3263,37.2849,Asian,100%
